Provinsi,SD,SMP,SMA,PT
ACEH,98,94,72,27
SUMATERA UTARA,98,89,67,16
SUMATERA BARAT,98,90,68,23
RIAU,97,88,65,15
JAMBI,98,88,59,15
SUMATERA SELATAN,97,86,56,12
BENGKULU,98,91,63,17
LAMPUNG,97,86,56,10
KEP. BANGKA BELITUNG,97,84,49,10
KEP. RIAU,97,96,68,10
DKI JAKARTA,98,92,59,17
JAWA BARAT,97,85,50,11
JAWA TENGAH,98,88,54,11
DI YOGYAKARTA,99,97,75,44
JAWA TIMUR,98,90,58,12
BANTEN,98,88,56,13
BALI,98,92,68,18
NUSA TENGGARA BARAT,97,91,60,17
NUSA TENGGARA TIMUR,96,86,60,17
KALIMANTAN BARAT,96,84,50,12
KALIMANTAN TENGAH,98,85,55,13
KALIMANTAN SELATAN,97,83,54,14
KALIMANTAN TIMUR,98,92,69,16
SULAWESI UTARA,98,88,61,15
SULAWESI TENGAH,97,85,60,17
SULAWESI SELATAN,97,85,57,22
SULAWESI TENGGARA,97,87,62,21
GORONTALO,97,84,58,19
SULAWESI BARAT,96,83,57,13
MALUKU,98,92,67,27
MALUKU UTARA,97,90,65,19
PAPUA BARAT,94,88,65,16
PAPUA,73,70,50,13
